date,crop,price_pkr,unit,source
2013-06-20,Apple,115.0,Kg,historical_csv
2013-08-01,Apple,105.0,Kg,historical_csv
2013-08-08,Apple,100.0,Kg,historical_csv
2013-08-15,Apple,101.67,Kg,historical_csv
2013-08-22,Apple,85.0,Kg,historical_csv
2013-08-29,Apple,85.0,Kg,historical_csv
2013-09-05,Apple,96.67,Kg,historical_csv
2013-09-12,Apple,95.0,Kg,historical_csv
2013-09-19,Apple,91.5,Kg,historical_csv
2013-09-26,Apple,95.0,Kg,historical_csv
2013-10-03,Apple,101.67,Kg,historical_csv
2013-10-10,Apple,116.67,Kg,historical_csv
2013-10-17,Apple,134.29,Kg,historical_csv
2013-10-24,Apple,135.0,Kg,historical_csv
2013-10-31,Apple,135.0,Kg,historical_csv
2013-11-07,Apple,135.0,Kg,historical_csv
2013-11-14,Apple,139.0,Kg,historical_csv
2013-11-21,Apple,121.25,Kg,historical_csv
2013-11-28,Apple,130.0,Kg,historical_csv
2013-12-05,Apple,108.33,Kg,historical_csv
2013-12-12,Apple,105.0,Kg,historical_csv
2013-12-19,Apple,107.0,Kg,historical_csv
2013-12-26,Apple,105.0,Kg,historical_csv
2014-01-02,Apple,105.0,Kg,historical_csv
2014-01-09,Apple,100.0,Kg,historical_csv
2014-01-16,Apple,95.0,Kg,historical_csv
2014-01-23,Apple,102.08,Kg,historical_csv
2014-01-30,Apple,97.5,Kg,historical_csv
2014-02-06,Apple,98.0,Kg,historical_csv
2014-02-13,Apple,110.0,Kg,historical_csv
2014-02-20,Apple,105.0,Kg,historical_csv
2014-02-27,Apple,105.0,Kg,historical_csv
2014-03-06,Apple,105.0,Kg,historical_csv
2014-03-13,Apple,105.0,Kg,historical_csv
2014-03-20,Apple,105.0,Kg,historical_csv
2014-03-27,Apple,104.58,Kg,historical_csv
2014-04-03,Apple,105.0,Kg,historical_csv
2014-04-10,Apple,105.0,Kg,historical_csv
2014-04-17,Apple,105.0,Kg,historical_csv
2014-04-24,Apple,122.0,Kg,historical_csv
2014-05-01,Apple,124.5,Kg,historical_csv
2014-05-08,Apple,125.0,Kg,historical_csv
2014-05-15,Apple,125.0,Kg,historical_csv
2014-05-22,Apple,125.0,Kg,historical_csv
2014-05-29,Apple,125.0,Kg,historical_csv
2014-06-05,Apple,125.83,Kg,historical_csv
2014-06-12,Apple,159.17,Kg,historical_csv
2014-06-19,Apple,193.33,Kg,historical_csv
2014-06-26,Apple,198.0,Kg,historical_csv
2014-07-03,Apple,198.33,Kg,historical_csv
2014-07-10,Apple,212.14,Kg,historical_csv
2014-07-17,Apple,219.29,Kg,historical_csv
2014-07-24,Apple,248.57,Kg,historical_csv
2014-07-31,Apple,253.57,Kg,historical_csv
2014-08-07,Apple,202.14,Kg,historical_csv
2014-08-14,Apple,157.14,Kg,historical_csv
2014-08-21,Apple,111.43,Kg,historical_csv
2014-08-28,Apple,111.43,Kg,historical_csv
2014-09-04,Apple,102.5,Kg,historical_csv
2014-09-11,Apple,95.0,Kg,historical_csv
2014-09-18,Apple,105.0,Kg,historical_csv
2014-09-25,Apple,108.33,Kg,historical_csv
2014-10-02,Apple,115.0,Kg,historical_csv
2014-10-09,Apple,125.0,Kg,historical_csv
2014-10-16,Apple,121.67,Kg,historical_csv
2014-10-23,Apple,127.92,Kg,historical_csv
2014-10-30,Apple,123.57,Kg,historical_csv
2014-11-06,Apple,117.14,Kg,historical_csv
2014-11-13,Apple,118.57,Kg,historical_csv
2014-11-20,Apple,116.43,Kg,historical_csv
2014-11-27,Apple,109.29,Kg,historical_csv
2014-12-04,Apple,106.43,Kg,historical_csv
2014-12-11,Apple,113.57,Kg,historical_csv
2014-12-18,Apple,110.71,Kg,historical_csv
2014-12-25,Apple,110.0,Kg,historical_csv
2015-01-01,Apple,105.0,Kg,historical_csv
2015-01-08,Apple,105.0,Kg,historical_csv
2015-01-15,Apple,105.0,Kg,historical_csv
2015-01-22,Apple,105.0,Kg,historical_csv
2015-01-29,Apple,105.0,Kg,historical_csv
2015-02-05,Apple,105.0,Kg,historical_csv
2015-02-12,Apple,105.0,Kg,historical_csv
2015-02-19,Apple,105.0,Kg,historical_csv
2015-02-26,Apple,101.67,Kg,historical_csv
2015-03-05,Apple,95.0,Kg,historical_csv
2015-03-12,Apple,97.0,Kg,historical_csv
2015-03-19,Apple,106.67,Kg,historical_csv
2015-03-26,Apple,107.14,Kg,historical_csv
2015-04-02,Apple,106.43,Kg,historical_csv
2015-04-09,Apple,103.33,Kg,historical_csv
2015-04-16,Apple,103.33,Kg,historical_csv
2015-04-23,Apple,106.43,Kg,historical_csv
2015-04-30,Apple,110.71,Kg,historical_csv
2015-05-07,Apple,128.93,Kg,historical_csv
2015-05-14,Apple,135.0,Kg,historical_csv
2015-05-21,Apple,147.14,Kg,historical_csv
2015-05-28,Apple,146.43,Kg,historical_csv
2015-06-04,Apple,167.86,Kg,historical_csv
2015-06-11,Apple,156.79,Kg,historical_csv
2015-06-18,Apple,117.14,Kg,historical_csv
2015-06-25,Apple,116.14,Kg,historical_csv
2015-07-02,Apple,101.15,Kg,historical_csv
2015-07-09,Apple,93.18,Kg,historical_csv
2015-07-16,Apple,91.54,Kg,historical_csv
2015-07-23,Apple,92.69,Kg,historical_csv
2015-07-30,Apple,88.12,Kg,historical_csv
2015-08-06,Apple,88.93,Kg,historical_csv
2015-08-13,Apple,95.0,Kg,historical_csv
2015-08-20,Apple,95.0,Kg,historical_csv
2015-08-27,Apple,97.86,Kg,historical_csv
2015-09-03,Apple,102.5,Kg,historical_csv
2015-09-10,Apple,97.86,Kg,historical_csv
2015-09-17,Apple,100.71,Kg,historical_csv
2015-09-24,Apple,95.0,Kg,historical_csv
2015-10-01,Apple,95.0,Kg,historical_csv
2015-10-08,Apple,97.86,Kg,historical_csv
2015-10-15,Apple,115.0,Kg,historical_csv
2015-10-22,Apple,118.57,Kg,historical_csv
2015-10-29,Apple,132.14,Kg,historical_csv
2015-11-05,Apple,133.57,Kg,historical_csv
2015-11-12,Apple,149.29,Kg,historical_csv
2015-11-19,Apple,119.29,Kg,historical_csv
2015-11-26,Apple,98.57,Kg,historical_csv
2015-12-03,Apple,90.0,Kg,historical_csv
2015-12-10,Apple,85.0,Kg,historical_csv
2015-12-17,Apple,87.14,Kg,historical_csv
2015-12-24,Apple,88.57,Kg,historical_csv
2015-12-31,Apple,88.57,Kg,historical_csv
2016-01-07,Apple,91.43,Kg,historical_csv
2016-01-14,Apple,88.57,Kg,historical_csv
2016-01-21,Apple,85.0,Kg,historical_csv
2016-01-28,Apple,85.0,Kg,historical_csv
